course_id,cluster_1_delta,cluster_2_delta,cluster_3_delta,cluster_4_delta,cluster_5_delta,cluster_6_delta,cluster_7_delta,cluster_8_delta,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z
ASTR 4B,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
CE 151,0.20375,0.21,0.182142857142857,0.0691666666666667,0.328181818181818,0.2,0.321,0.0399999999999999,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CRJ 117,0.121875,0.133333333333333,0.123571428571429,0.235,0.147272727272727,0.122857142857143,0.15,0.205,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CSC 130,0.22875,0.234,0.251428571428571,0.028,0.23,0.232857142857143,0.24,0.045,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835
EEE 161,0.135625,0.130666666666667,0.159285714285714,0.331666666666667,0.0818181818181817,0.14,0.09,0.358125,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159
EHTN 11,0.205625,0.194666666666667,0.208571428571429,0.0633333333333333,0.28,0.205714285714286,0.279,0.0949999999999999,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184
ENGL 20,0.11,0.102666666666667,0.0892857142857143,0.18,0.207272727272727,0.105714285714286,0.018,0.188125,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386
ENGR 106,0.275,0.278,0.25,0.296666666666667,0.0581818181818182,0.27,0.049,0.27375,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151
ENGR 140,0.17625,0.186666666666667,0.17,0.0583333333333332,0.341818181818182,0.175714285714286,0.341,0.025,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598
ENGR 17,0.121875,0.13,0.14,0.2525,0.114545454545455,0.125714285714286,0.123,0.24,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996
ENVS 10,0.215,0.213333333333333,0.240714285714286,0.135,0.242727272727273,0.22,0.252,0.154375,0.222262,0.144687,0.247364,0.209144,0.977256,-0.361326,0.616196,1.192989
ETHN 70,0.035,0.072,0.0914285714285714,0.300833333333333,0.166363636363636,0.04,0.168,0.334375,0.059607,0.317604,0.167182,0.151,-1.735136,1.260126,-0.168471,-0.765909
FSHD 50,0.20625,0.197333333333333,0.190714285714286,0.0941666666666667,0.0827272727272727,0.202857142857143,0.075,0.11125,0.199289,0.102708,0.078864,0.145037,0.59416,-0.754967,-1.03276,-0.966797
HIST 51,0.155,0.155333333333333,0.128571428571429,0.213333333333333,0.366363636363636,0.15,0.357,0.1975,0.147226,0.205417,0.361682,0.215388,-0.274022,0.208136,1.734924,1.403353
JOUR 50,0.26,0.269333333333333,0.246428571428571,0.0799999999999999,0.175454545454545,0.257142857142857,0.172,0.04625,0.258226,0.063125,0.173727,0.188326,1.576988,-1.126142,-0.104416,0.491632
MGMT 117,0.105625,0.115333333333333,0.117857142857143,0.278333333333333,0.22,0.108571428571429,0.226,0.2575,0.111847,0.267917,0.223,0.178653,-0.864001,0.794203,0.377771,0.165721
PHIL 104,0.165625,0.166666666666667,0.192142857142857,0.129166666666667,0.284545454545455,0.17142857142857101,0.295,0.14,0.173966,0.134583,0.289773,0.193072,0.171881,-0.456073,1.031215,0.651519
RPTA 33,0.20875,0.2,0.03,0.32,0.025,0.211428571428572,0.098,0.3525,0.162545,0.33625,0.0615,0.18071,-0.018575,1.434969,-1.202682,0.235032
STAT 1,0.1625,0.025,0.153571428571429,0.0991666666666668,0.035,0.16,0.272,0.12375,0.125268,0.111458,0.1535,0.128874,-0.640194,-0.672918,-0.302362,-1.511367
