student_id,course_id,term,section_id,instructor_id,switch_term,post_redesign,redesign_status,final_numeric_grade,final_grade_letter_sampled,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q2_1,q2_2,q2_3,q2_4,q2_5,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4_1,q4_2,q4_3,q4_4,q4_5,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,olse_q1_mean,olse_q2_mean,olse_q3_mean,olse_q4_mean,olse_q5_mean,olse_overall_mean,olse_overall_z,term_index,course_term_id,section_term_id,final_numeric_grade_z,olse_overall_student_z,final_grade_letter_checked,cluster_1_delta,cluster_2_delta,cluster_3_delta,cluster_4_delta,cluster_5_delta,cluster_6_delta,cluster_7_delta,cluster_8_delta,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z,cluster_1_delta_z,post_x_cluster_1_delta_z,cluster_2_delta_z,post_x_cluster_2_delta_z,cluster_3_delta_z,post_x_cluster_3_delta_z,cluster_4_delta_z,post_x_cluster_4_delta_z,cluster_5_delta_z,post_x_cluster_5_delta_z,cluster_6_delta_z,post_x_cluster_6_delta_z,cluster_7_delta_z,post_x_cluster_7_delta_z,cluster_8_delta_z,post_x_cluster_8_delta_z,post_x_mastery_redesign_z,post_x_social_vicarious_redesign_z,post_x_structural_compliance_redesign_z,post_x_redesign_intensity_z
STU_000080,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1.3,D+,2,1,1,3,3,1,2,2,2,2,2,2,2,2,1,2,2,1,3,1,1,2,3,2,2,4,3,2,2,2,1.875,2,1.83333333333333,1.8,2.5,2,-3.24826596869013,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-1.5835909240968005,-3.26622977854384,D+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000051,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1.7,C-,2,3,2,3,3,3,3,4,3,4,4,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,4,3,3,2.875,3.2,2.5,2.8,3.16666666666667,2.9,-1.30629703528056,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-1.0805886818231698,-1.3010051021594846,C-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000831,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1,D,2,2,3,3,4,3,2,3,3,2,3,2,2,1,2,2,2,2,1,3,2,2,3,3,3,2,2,3,2,3,2.75,2.4,1.66666666666667,2.6,2.5,2.4,-2.38516866495254,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-1.9608426058020236,-2.392796589039682,D,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000994,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1.3,D+,3,3,3,2,3,3,2,2,1,3,3,3,3,2,3,3,2,4,2,3,2,2,2,3,3,2,2,2,3,2,2.625,2.6,2.66666666666667,2.4,2.33333333333333,2.53333333333333,-2.09746956370668,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-1.5835909240968005,-2.101652192538303,D+,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001521,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2,C,4,4,4,2,3,4,4,3,3,3,4,3,3,4,3,4,4,2,4,3,3,4,3,3,3,3,2,3,4,2,3.5,3.2,3.5,3.2,2.83333333333333,3.26666666666667,-0.515124506854437,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-0.7033370001179466,-0.5003580117806651,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000815,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2,C,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,2,4,2,2,3,2,2.875,3,2.83333333333333,2.6,2.5,2.76666666666667,-1.59399613652642,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-0.7033370001179466,-1.5921494986608626,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000043,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1,D,3,3,4,3,3,3,3,3,3,2,3,3,3,2,2,3,3,4,3,4,3,2,3,3,3,4,4,3,3,2,3.125,2.8,2.83333333333333,3,3.16666666666667,3,-1.09052270934616,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-1.9608426058020236,-1.0826468047834448,D,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000168,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1.7,C-,3,3,3,3,3,2,3,2,1,1,2,2,2,3,2,3,1,2,2,2,2,4,2,2,2,2,3,3,1,3,2.75,1.6,2.16666666666667,2.4,2.33333333333333,2.3,-2.60094299088694,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,-1.0805886818231698,-2.611154886415722,C-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_001128,ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,2,C,3,2,4,3,4,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,4,3,3,4,4,2,2,3,2,3,3.125,3.4,3.16666666666667,3.4,2.66666666666667,3.13333333333333,-0.8028236081003,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S02,-0.7033370001179466,-0.7915024082820655,C,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
STU_000425,ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,2.7,B-,4,5,4,4,3,4,5,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,5,4,3,3,4,3,4,4.125,3.8,3.8333333333333295,4,3.5,3.86666666666667,0.779521448751943,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S02,0.17691692386090738,0.8097917724755714,B-,0.0925,0.018,0.0678571428571428,0.305833333333333,0.0718181818181817,0.0871428571428571,0.022,0.304375,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-1.262831870002721,-0,-1.9936307738898789,-0,-1.471078519622754,-0,1.2126511867471312,0,-1.0514574587266068,-0,-1.3715956266078153,-0,-1.5501048399723882,-0,1.1344914979457381,0,-0,0,-0,-0
