course_id,has_pre,has_post,pre_terms,post_terms,pre_section_count,post_section_count,course_has_both_pre_and_post,course_redesign_record_ready,cluster_1_pre_score,cluster_1_post_score,cluster_1_max_score,cluster_1_delta,cluster_2_pre_score,cluster_2_post_score,cluster_2_max_score,cluster_2_delta,cluster_3_pre_score,cluster_3_post_score,cluster_3_max_score,cluster_3_delta,cluster_4_pre_score,cluster_4_post_score,cluster_4_max_score,cluster_4_delta,cluster_5_pre_score,cluster_5_post_score,cluster_5_max_score,cluster_5_delta,cluster_6_pre_score,cluster_6_post_score,cluster_6_max_score,cluster_6_delta,cluster_7_pre_score,cluster_7_post_score,cluster_7_max_score,cluster_7_delta,cluster_8_pre_score,cluster_8_post_score,cluster_8_max_score,cluster_8_delta,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z,instructor_ids
ASTR 4B,TRUE,TRUE,2024SP; 2024F,2025SP; 2025F,9,6,TRUE,1,14.04,15.52,16,0.0925,14.73,15.0,15,0.018,12.21,13.16,14,0.0678571428571428,7.97,11.64,12,0.3058333333333330,10.21,11.0,11,0.0718181818181817,5.97,6.58,7,0.0871428571428571,9.48,9.7,10,0.022,11.13,16.0,16,0.3043750000000000,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,INST_ASTR4B_01; INST_ASTR4B_02; INST_ASTR4B_03
CE 151,TRUE,TRUE,2025SP; 2025F,2026SP,6,6,TRUE,1,12.74,16.0,16,0.20375,10.95,14.1,15,0.2100000000000000,11.03,13.58,14,0.1821428571428570,11.17,12.0,12,0.0691666666666667,6.73,10.34,11,0.3281818181818180,5.39,6.79,7,0.2,6.79,10.0,10,0.3210000000000000,14.4,15.04,16,0.0399999999999999,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226,INST_CE151_01; INST_CE151_02; INST_CE151_03
CRJ 117,TRUE,TRUE,2024SP; 2024F,2025SP; 2025F,6,6,TRUE,1,13.09,15.04,16,0.1218750000000000,12.55,14.55,15,0.1333333333333330,12.27,14.0,14,0.1235714285714290,8.46,11.28,12,0.2350000000000000,9.05,10.67,11,0.1472727272727270,6.14,7.0,7,0.1228571428571430,7.9,9.4,10,0.15,12.24,15.52,16,0.2050000000000000,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741,INST_CRJ117_01; INST_CRJ117_02; INST_CRJ117_03
CSC 130,TRUE,TRUE,2024SP; 2024F,2025SP; 2025F,9,6,TRUE,1,11.86,15.52,16,0.22875,11.49,15.0,15,0.2340000000000000,9.64,13.16,14,0.2514285714285710,11.3,11.64,12,0.028,8.47,11.0,11,0.2300000000000000,4.95,6.58,7,0.2328571428571430,7.3,9.7,10,0.24,15.28,16.0,16,0.045,0.236759,0.0365,0.235,0.186254,1.219005,-1.375807,0.495204,0.421835,INST_CSC130_01; INST_CSC130_02; INST_CSC130_03
EEE 161,TRUE,TRUE,2025SP; 2025F,2026SP,8,6,TRUE,1,13.83,16.0,16,0.135625,12.14,14.1,15,0.1306666666666670,11.35,13.58,14,0.1592857142857140,8.02,12.0,12,0.3316666666666670,9.44,10.34,11,0.0818181818181817,5.81,6.79,7,0.14,9.1,10.0,10,0.09,9.31,15.04,16,0.3581250000000000,0.141394,0.344896,0.085909,0.178398,-0.371272,1.516041,-0.963813,0.157159,INST_EEE161_01; INST_EEE161_02; INST_EEE161_03
EHTN 11,TRUE,TRUE,2024SP; 2024F; 2025SP,2025F,9,3,TRUE,1,11.75,15.04,16,0.2056250000000000,11.63,14.55,15,0.1946666666666670,11.08,14.0,14,0.2085714285714290,10.52,11.28,12,0.0633333333333333,7.59,10.67,11,0.28,5.56,7.0,7,0.2057142857142860,6.61,9.4,10,0.279,14.0,15.52,16,0.0949999999999999,0.203644,0.079167,0.2795,0.191489,0.666794,-0.975719,0.930685,0.598184,INST_EHTN11_01; INST_EHTN11_02; INST_EHTN11_03
ENGL 20,TRUE,TRUE,2024SP; 2024F; 2025SP,2025F,22,3,TRUE,1,13.76,15.52,16,0.1100000000000000,13.46,15.0,15,0.1026666666666670,11.91,13.16,14,0.0892857142857143,9.48,11.64,12,0.18,8.72,11.0,11,0.2072727272727270,5.84,6.58,7,0.1057142857142860,9.52,9.7,10,0.018,12.99,16.0,16,0.188125,0.101917,0.184062,0.112636,0.125133,-1.029592,0.007896,-0.702257,-1.637386,INST_ENGL20_01; INST_ENGL20_02; INST_ENGL20_03
ENGR 106,TRUE,TRUE,2024SP; 2024F; 2025SP,2025F,9,3,TRUE,1,11.6,16.0,16,0.275,9.93,14.1,15,0.2780000000000000,10.08,13.58,14,0.25,8.44,12.0,12,0.2966666666666670,9.7,10.34,11,0.0581818181818182,4.9,6.79,7,0.2700000000000000,9.51,10.0,10,0.049,10.66,15.04,16,0.2737500000000000,0.26825,0.285208,0.053591,0.218825,1.744142,0.956348,-1.280081,1.519151,INST_ENGR106_01; INST_ENGR106_02; INST_ENGR106_03
ENGR 140,TRUE,TRUE,2025SP; 2025F,2026SP,6,6,TRUE,1,12.22,15.04,16,0.1762500000000000,11.75,14.55,15,0.1866666666666670,11.62,14.0,14,0.17,10.58,11.28,12,0.0583333333333332,6.91,10.67,11,0.3418181818181820,5.77,7.0,7,0.1757142857142860,5.99,9.4,10,0.3410000000000000,15.12,15.52,16,0.025,0.177158,0.041667,0.341409,0.184348,0.22511,-1.327359,1.536533,0.357598,INST_ENGR140_01; INST_ENGR140_02; INST_ENGR140_03
ENGR 17,TRUE,TRUE,2024SP; 2024F,2026SP,6,6,TRUE,1,13.57,15.52,16,0.1218750000000000,13.05,15.0,15,0.13,11.2,13.16,14,0.1400000000000000,8.61,11.64,12,0.2525000000000000,9.74,11.0,11,0.1145454545454550,5.7,6.58,7,0.1257142857142860,8.47,9.7,10,0.1230000000000000,12.16,16.0,16,0.24,0.129397,0.24625,0.118773,0.155954,-0.571332,0.591033,-0.642206,-0.598996,INST_ENGR17_01; INST_ENGR17_02; INST_ENGR17_03
