course_id,term,section_id,instructor_id,switch_term,post_redesign,redesign_status,enrollment_n,avg_numeric_grade,median_numeric_grade,mode_letter_grade,avg_olse_overall,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z
ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,8,1.5,1.5,C,2.622708,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,4,1.85,2.0,C,3.259583,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024SP,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,5,2.32,2.0,D+,3.186333,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024SP,S04,INST_ASTR4B_01,2025SP,0,Pre-Redesign,1,2.3,2.3,C+,3.330476,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024SP,S05,INST_ASTR4B_02,2025SP,0,Pre-Redesign,2,2.5,2.5,B,3.2275,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024F,S01,INST_ASTR4B_01,2025SP,0,Pre-Redesign,8,2.1,2.5,B-,3.129643,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024F,S02,INST_ASTR4B_02,2025SP,0,Pre-Redesign,5,1.68,1.7,B,2.982333,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024F,S03,INST_ASTR4B_03,2025SP,0,Pre-Redesign,4,2.825,2.85,B,3.334583,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2024F,S04,INST_ASTR4B_01,2025SP,0,Pre-Redesign,2,3.2,3.2,A-,3.348333,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2025SP,S01,INST_ASTR4B_01,2025SP,1,Post-Redesign,7,2.057143,2.0,B-,3.231429,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2025SP,S02,INST_ASTR4B_02,2025SP,1,Post-Redesign,7,2.042857,2.0,C,3.287857,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2025SP,S03,INST_ASTR4B_03,2025SP,1,Post-Redesign,7,2.242857,2.3,B-,3.19381,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2025F,S01,INST_ASTR4B_01,2025SP,1,Post-Redesign,7,2.614286,2.7,B,3.51881,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2025F,S02,INST_ASTR4B_02,2025SP,1,Post-Redesign,7,2.285714,2.7,B-,3.179286,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
ASTR 4B,2025F,S03,INST_ASTR4B_03,2025SP,1,Post-Redesign,7,1.8,2.0,C+,3.130476,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202
CE 151,2025SP,S01,INST_CE151_01,2026SP,0,Pre-Redesign,7,2.914286,2.7,B-,3.585952,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2025SP,S02,INST_CE151_02,2026SP,0,Pre-Redesign,7,3.442857,3.7,A-,3.524048,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2025SP,S03,INST_CE151_03,2026SP,0,Pre-Redesign,7,2.957143,3.0,B,3.552857,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2025F,S01,INST_CE151_01,2026SP,0,Pre-Redesign,6,2.333333,2.5,A,3.566032,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2025F,S02,INST_CE151_02,2026SP,0,Pre-Redesign,7,3.042857,3.3,B+,3.552857,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2025F,S03,INST_CE151_03,2026SP,0,Pre-Redesign,6,2.9,2.85,B,3.394444,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2026SP,S01,INST_CE151_01,2026SP,1,Post-Redesign,7,3.371429,3.7,A,3.803333,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2026SP,S02,INST_CE151_02,2026SP,1,Post-Redesign,7,3.114286,2.7,B-,3.664524,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2026SP,S03,INST_CE151_03,2026SP,1,Post-Redesign,8,3.325,3.3,B+,3.395952,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2026SP,S04,INST_CE151_01,2026SP,1,Post-Redesign,8,3.35,3.35,A,3.745833,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2026SP,S05,INST_CE151_02,2026SP,1,Post-Redesign,7,3.342857,3.3,B-,3.77619,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CE 151,2026SP,S06,INST_CE151_03,2026SP,1,Post-Redesign,7,3.471429,4.0,A,3.47619,0.198973,0.054583,0.324591,0.19428,0.588899,-1.206238,1.371949,0.692226
CRJ 117,2024SP,S01,INST_CRJ117_01,2025SP,0,Pre-Redesign,7,2.385714,2.3,B-,3.290476,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2024SP,S02,INST_CRJ117_02,2025SP,0,Pre-Redesign,6,2.266667,2.3,C+,3.107778,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2024SP,S03,INST_CRJ117_03,2025SP,0,Pre-Redesign,7,1.7,1.7,C+,3.292075,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
CRJ 117,2024F,S01,INST_CRJ117_01,2025SP,0,Pre-Redesign,7,2.285714,2.0,C,3.272857,0.125409,0.22,0.148636,0.154864,-0.637836,0.344885,-0.349958,-0.635741
