course_id,n_post_0,n_post_1,grade_mean_post_0,grade_mean_post_1,olse_mean_post_0,olse_mean_post_1,grade_change,olse_change
STAT 1,64,22,2.6078125,2.422727272727273,3.460416666666667,3.3257575757575757,-0.18508522727272725,-0.13465909090909145
ETHN 70,60,21,2.0633333333333335,1.9714285714285715,3.534444444444445,3.7857142857142865,-0.09190476190476193,0.25126984126984153
FSHD 50,39,44,1.9487179487179487,1.9659090909090908,3.217948717948718,3.398484848484848,0.01719114219114215,0.18053613053612994
ASTR 4B,39,42,2.082051282051282,2.1738095238095236,3.078632478632479,3.257936507936508,0.09175824175824143,0.1793040293040291
CSC 130,39,42,2.3461538461538463,2.492857142857143,3.533333333333333,3.4746031746031742,0.14670329670329663,-0.058730158730158966
ENVS 10,62,22,2.65,2.85,3.5731182795698917,3.634848484848485,0.20000000000000018,0.06173020527859352
HIST 51,61,22,2.6950819672131145,2.981818181818182,3.489071038251366,3.7227272727272718,0.2867362146050674,0.23365623447590567
ENGR 140,40,45,2.4775,2.7888888888888888,3.4274999999999998,3.5859259259259257,0.3113888888888887,0.15842592592592597
CE 151,40,44,2.9475000000000002,3.3295454545454546,3.5341666666666667,3.639393939393939,0.38204545454545435,0.1052272727272725
JOUR 50,40,42,1.9575,2.3404761904761906,3.434166666666666,3.587301587301587,0.3829761904761906,0.15313492063492085
ENGR 17,39,44,2.2974358974358973,2.725,3.3085470085470083,3.606818181818181,0.4275641025641028,0.2982711732711727
EEE 161,39,44,2.341025641025641,2.8136363636363635,3.4324786324786323,3.71439393939394,0.47261072261072234,0.28191530691530753
CRJ 117,40,42,2.195,2.669047619047619,3.3350000000000004,3.726984126984127,0.47404761904761905,0.39198412698412666
ENGL 20,60,21,2.315,2.819047619047619,3.3000000000000003,3.5047619047619047,0.5040476190476189,0.20476190476190448
RPTA 33,60,21,2.985,3.4952380952380953,3.639444444444445,3.73968253968254,0.5102380952380954,0.10023809523809524
MGMT 117,40,45,2.32,2.8377777777777777,3.5375,3.808888888888889,0.5177777777777779,0.2713888888888891
EHTN 11,60,21,2.7316666666666665,3.357142857142857,3.377777777777777,3.587301587301587,0.6254761904761907,0.2095238095238101
ENGR 106,60,21,2.515,3.1952380952380954,3.467777777777778,3.7619047619047623,0.6802380952380953,0.29412698412698424
PHIL 104,60,21,2.5966666666666667,3.3333333333333335,3.296111111111111,3.6253968253968254,0.7366666666666668,0.3292857142857142
