course_id,term,term_index,post_redesign,course_term_id,n_students,final_grade_mean,final_grade_sd,olse_mean
ASTR 4B,2024F,20243,0,ASTR 4B__2024F,19,2.2578947368421054,0.9221447159708624,3.166666666666667
ASTR 4B,2024SP,20241,0,ASTR 4B__2024SP,20,1.915,0.7895868339967762,2.995
ASTR 4B,2025F,20253,1,ASTR 4B__2025F,21,2.2333333333333334,0.7150757535627491,3.279365079365079
ASTR 4B,2025SP,20251,1,ASTR 4B__2025SP,21,2.1142857142857143,0.5985697238298262,3.236507936507937
CE 151,2025F,20253,0,CE 151__2025F,19,2.773684210526316,0.9194455486645547,3.5070175438596487
CE 151,2025SP,20251,0,CE 151__2025SP,21,3.104761904761905,0.4716738178828569,3.5587301587301585
CE 151,2026SP,20261,1,CE 151__2026SP,44,3.3295454545454546,0.6185427531066213,3.639393939393939
CRJ 117,2024F,20243,0,CRJ 117__2024F,20,2.28,0.6917559654888955,3.425
CRJ 117,2024SP,20241,0,CRJ 117__2024SP,20,2.11,0.6077568765983908,3.245000000000001
CRJ 117,2025F,20253,1,CRJ 117__2025F,21,2.6809523809523808,0.7145761314367054,3.7619047619047614
CRJ 117,2025SP,20251,1,CRJ 117__2025SP,21,2.657142857142857,0.72771658533486006,3.692063492063492
CSC 130,2024F,20243,0,CSC 130__2024F,19,2.226315789473684,0.7533938805042728,3.631578947368421
CSC 130,2024SP,20241,0,CSC 130__2024SP,20,2.46,0.6969104752594236,3.4400000000000004
CSC 130,2025F,20253,1,CSC 130__2025F,21,2.461904761904762,0.7109684876815502,3.533333333333333
CSC 130,2025SP,20251,1,CSC 130__2025SP,21,2.5238095238095237,0.6114775236300692,3.415873015873015
EEE 161,2025F,20253,0,EEE 161__2025F,19,2.0894736842105264,0.9128068658095236,3.307017543859649
EEE 161,2025SP,20251,0,EEE 161__2025SP,20,2.58,0.662213195118818,3.5516666666666667
EEE 161,2026SP,20261,1,EEE 161__2026SP,44,2.8136363636363635,0.5187601090484479,3.71439393939394
EHTN 11,2024F,20243,0,EHTN 11__2024F,19,2.726315789473684,0.8710415893012214,3.4070175438596477
EHTN 11,2024SP,20241,0,EHTN 11__2024SP,20,2.545,1.015912864062869,3.2666666666666666
EHTN 11,2025F,20253,1,EHTN 11__2025F,21,3.357142857142857,0.48432574634374814,3.587301587301587
EHTN 11,2025SP,20251,0,EHTN 11__2025SP,21,2.914285714285714,1.0071175275436897,3.4571428571428564
ENGL 20,2024F,20243,0,ENGL 20__2024F,19,2.4947368421052634,0.6753383384238075,3.4333333333333336
ENGL 20,2024SP,20241,0,ENGL 20__2024SP,20,2.235,0.8658886521341741,3.226666666666667
ENGL 20,2025F,20253,1,ENGL 20__2025F,21,2.819047619047619,0.6990129094795373,3.5047619047619047
ENGL 20,2025SP,20251,0,ENGL 20__2025SP,21,2.2285714285714286,0.9477039923641014,3.249206349206349
ENGR 106,2024F,20243,0,ENGR 106__2024F,19,2.426315789473684,0.9468322069248466,3.496491228070175
ENGR 106,2024SP,20241,0,ENGR 106__2024SP,20,2.465,0.8664962720483477,3.3733333333333344
ENGR 106,2025F,20253,1,ENGR 106__2025F,21,3.195238095238095,0.6383386174094361,3.7619047619047623
