model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Course + term FE,post_redesign,0.37984961831564745,0.11809125179649148,3.216577117585715,0.004784840516628417,0.13174910465674441,0.6279501319745505
Grade z-score outcome,post_redesign,0.4776630243488835,0.148500411116338,3.216577117585711,0.004784840516628465,0.16567523764971376,0.7896508110480533
Course + term + instructor,post_redesign,0.3868498744358928,0.11895715393090515,3.2520101704903763,0.00442576645703227,0.1369301678981083,0.6367695809736773
Course-term aggregate,post_redesign,0.3798496183156479,0.12263961911774442,3.0972830888439087,0.006216149198876682,0.12219333950441247,0.6375058971268833
3 redesign composites,post_redesign,0.3829212741475988,0.10998676761032507,3.481521299946375,0.002663787638384484,0.15184764994019773,0.6139948983549999
3 redesign composites,post_x_mastery_redesign_z,0.1382696471098348,0.05692699702082006,2.428894098511205,0.025844680866724742,0.01867046438405802,0.2578688298356116
3 redesign composites,post_x_social_vicarious_redesign_z,0.18005423846545715,0.06107029662446926,2.9483111826464286,0.008598062395655089,0.0517503062830518,0.30835817064786253
3 redesign composites,post_x_structural_compliance_redesign_z,0.12330577524915973,0.059885160803432466,2.0590372238274455,0.05425968619878742,-0.0025082789661502736,0.24911982946446973
Overall redesign intensity,post_redesign,0.3819135016190437,0.11053787363103766,3.4550465742974734,0.0028249463051607934,0.14968204662621798,0.6141449566118694
Overall redesign intensity,post_x_redesign_intensity_z,0.1276222005935879,0.04720901980290329,2.7033435798160608,0.01454797690898847,0.028439730391492737,0.22680467079568306
Cluster 1,post_redesign,0.375784656806333,0.11992202450589086,3.133574990537902,0.00574138551627822,0.12383783241158097,0.627731481201085
Cluster 1,post_x_cluster_1_delta_z,0.0464856644240158,0.05839152417204979,0.7961029461578439,0.43634640591549523,-0.07619037567231096,0.16916170452034254
Cluster 2,post_redesign,0.37713868119393673,0.11446874793549322,3.294686873018532,0.004028269849289025,0.13664876573746318,0.6176285966504103
Cluster 2,post_x_cluster_2_delta_z,0.09085585416455208,0.04731361628688853,1.920289787481958,0.07080935722980611,-0.00854636509607938,0.19025807342518353
Cluster 3,post_redesign,0.37854588310134185,0.11943856202337107,3.169377432953941,0.00530780011428283,0.12761477569174534,0.6294769905109383
Cluster 3,post_x_cluster_3_delta_z,0.026050989043380563,0.05116597599266567,0.5091467237352184,0.6168340785178749,-0.08144473763005458,0.1335467157168157
Cluster 4,post_redesign,0.38012769937854496,0.11736297406410129,3.238906498491823,0.004555366889436834,0.13355724045903722,0.6266981582980526
Cluster 4,post_x_cluster_4_delta_z,0.03664097521478283,0.050954016486563995,0.7190988609199168,0.4813122441906439,-0.0704094410606447,0.14369139149021035
Cluster 5,post_redesign,0.384321931779065,0.11464880280914763,3.352166986155398,0.0035478852356929046,0.14345373507007805,0.6251901284880519
Cluster 5,post_x_cluster_5_delta_z,0.06257621664027282,0.050948215316182356,1.2282317692960905,0.23517845333321563,-0.04446201182844073,0.16961444510898638
Cluster 6,post_redesign,0.37497724384211256,0.11989602100311524,3.1275203355778554,0.005818054206925141,0.12308505077946535,0.6268694369047598
Cluster 6,post_x_cluster_6_delta_z,0.049294434737656906,0.057699812545227123,0.8543257345770094,0.40415188184231043,-0.07192837315638712,0.17051724263170093
Cluster 7,post_redesign,0.3817583284755026,0.11844739017412621,3.2230201772642717,0.004717488099708557,0.13290959584965106,0.6306070611013541
Cluster 7,post_x_cluster_7_delta_z,0.016579306327860813,0.052133667968217515,0.31801534351981775,0.7541331924540666,-0.0929494657451756,0.12610807840089722
Cluster 8,post_redesign,0.3797733716949913,0.11794219836058809,3.219995701062814,0.0047489878823287245,0.13198600768475136,0.6275607357052313
Cluster 8,post_x_cluster_8_delta_z,0.01625870229785176,0.05035279977412457,0.32289569538905416,0.7504949567021,-0.089528604535450515,0.12204600913115403
