course_id,n_terms,first_term,last_term,first_post_term,has_pre,has_post
ASTR 4B,4,2024SP,2025F,2025SP,TRUE,TRUE
CE 151,3,2025SP,2026SP,2026SP,TRUE,TRUE
CRJ 117,4,2024SP,2025F,2025SP,TRUE,TRUE
CSC 130,4,2024SP,2025F,2025SP,TRUE,TRUE
EEE 161,3,2025SP,2026SP,2026SP,TRUE,TRUE
EHTN 11,4,2024SP,2025F,2025F,TRUE,TRUE
ENGL 20,4,2024SP,2025F,2025F,TRUE,TRUE
ENGR 106,4,2024SP,2025F,2025F,TRUE,TRUE
ENGR 140,3,2025SP,2026SP,2026SP,TRUE,TRUE
ENGR 17,3,2024SP,2026SP,2026SP,TRUE,TRUE
ENVS 10,3,2025SP,2026SP,2026SP,TRUE,TRUE
ETHN 70,4,2024SP,2025F,2025F,TRUE,TRUE
FSHD 50,3,2024SP,2026SP,2026SP,TRUE,TRUE
HIST 51,3,2024SP,2026SP,2026SP,TRUE,TRUE
JOUR 50,4,2024SP,2025F,2025SP,TRUE,TRUE
MGMT 117,3,2025SP,2026SP,2026SP,TRUE,TRUE
PHIL 104,4,2024SP,2025F,2025F,TRUE,TRUE
RPTA 33,4,2024SP,2025F,2025F,TRUE,TRUE
STAT 1,3,2025SP,2026SP,2026SP,TRUE,TRUE
