lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper
Overall_OLSE,=~,Q1,0.9942260629719718,0.0072007887561695225,138.07182749530523,0,0.9801127763495986,1.0083393495943451
Overall_OLSE,=~,Q2,0.9805085804413397,0.009936757274774976,98.67490503470549,0,0.9610328940596644,0.999984266823015
Overall_OLSE,=~,Q3,0.9925868241479266,0.008324682634263727,119.23419399347657,0,0.9762707460020438,1.0089029022938096
Overall_OLSE,=~,Q4,0.994368812776976,0.010395475798825205,95.65399718301973,0,0.9739940546091208,1.0147435709448311
Overall_OLSE,=~,Q5,0.9854465953503301,0.008688625831402662,113.4180035453596,0,0.9684172016456365,1.0024759890550237
Q1,=~,q1_1,0.623399368584782,0.018823739795406566,33.117721311516746,0,0.5865055165314317,0.6602932206381322
Q1,=~,q1_2,0.6185327713934995,0.018221720951690362,33.944805379983634,0,0.5828188545918475,0.6542466881951515
Q1,=~,q1_3,0.5840380924852053,0.01940365687402153,30.099382620352415,0,0.5460076238437501,0.6220685611266605
Q1,=~,q1_4,0.6020945429751503,0.019644051288378993,30.650222509413663,0,0.5635929099394699,0.6405961760108307
Q1,=~,q1_5,0.5695537922903355,0.020142765760827522,28.275848463569517,0,0.5300746968500871,0.609032887730584
Q1,=~,q1_6,0.5855211838783452,0.020256488767759043,28.905364132518454,0,0.5458191954402973,0.625223172316393
Q1,=~,q1_7,0.6052676491365004,0.018903088260303434,32.01951135188662,0,0.5682182769497238,0.6423170213232771
Q1,=~,q1_8,0.6365534456448506,0.018174032591033198,35.02543766532678,0,0.6009329963125684,0.6721738949771329
Q2,=~,q2_1,0.5994687179442575,0.019887805925065512,30.142526541287275,0,0.5604893345996068,0.6384481012889082
Q2,=~,q2_2,0.6174662069966451,0.019244531039049825,32.08528208578949,0,0.5797476192607443,0.655184794732546
Q2,=~,q2_3,0.6150997524298487,0.019176125846593107,32.07633060768264,0,0.5775152364075186,0.6526842684521789
Q2,=~,q2_4,0.6005117853934704,0.019802635236752,30.324842033093244,0,0.5616993335304526,0.6393242372564881
Q2,=~,q2_5,0.6301179481740026,0.01886273589569979,33.405437665999074,0,0.5931476651685401,0.667088231179465
Q3,=~,q3_1,0.6317657343080223,0.018415250422223667,34.30665995970397,0,0.5956725067141779,0.6678589619018667
Q3,=~,q3_2,0.6140518003197797,0.018635969626089405,32.9498176182976,0,0.5775259710356621,0.6505776296038973
Q3,=~,q3_3,0.5985291442225841,0.01924436717799811,31.101523821831687,0,0.5608108776484431,0.6362474107967251
Q3,=~,q3_4,0.6117983674657925,0.01931642284590846,31.672446412373997,0,0.5739388743776652,0.6496578605539198
Q3,=~,q3_5,0.609073864234337,0.019076505854812183,31.92795729311685,0,0.5716845998080377,0.6464631286606363
Q3,=~,q3_6,0.5862831656563137,0.019467617242832035,30.1158153226062,0,0.5481273369955519,0.6244389943170754
Q4,=~,q4_1,0.5986338882395329,0.019350024179961407,30.93711318766563,0,0.5607085377468294,0.6365592387322364
Q4,=~,q4_2,0.6154699518166697,0.018942097049813405,32.49217603510972,0,0.5783441238073731,0.6525957798259664
Q4,=~,q4_3,0.5879162146514509,0.020094010015470187,29.25828215467295,0,0.5485326787161422,0.6272997505867597
Q4,=~,q4_4,0.6046116313064779,0.01908673722481563,31.67705533874023,0,0.5672023137634593,0.6420209488494965
Q4,=~,q4_5,0.5983936141814008,0.019674992395418627,30.413918448107676,0,0.5598313376902808,0.6369558906725208
Q5,=~,q5_1,0.6547032829061404,0.01795644701137815,36.46062511649916,0,0.6195092934735373,0.6898972723387435
Q5,=~,q5_2,0.5962954077807195,0.01997362259227922,29.85414413563701,0,0.5571478268590567,0.6354429887023824
Q5,=~,q5_3,0.5715812271429374,0.019778993384128293,28.89839821684779,0,0.5328151124595899,0.6103473418262848
Q5,=~,q5_4,0.6235010047501056,0.018724997190368322,33.29778896152888,0,0.58680068464637,0.6602013248538412
Q5,=~,q5_5,0.6178710339019504,0.019301438682287713,32.01165695844995,0,0.5800409092348583,0.6557011585690425
Q5,=~,q5_6,0.6127566177037763,0.01924071702182946,31.846870208037277,0,0.5750455053042638,0.6504677301032888
