item,response,n,prop
q1_1,1,7,0.004464285714285714
q1_1,2,127,0.08099489795918367
q1_1,3,618,0.39413265306122447
q1_1,4,665,0.42410714285714285
q1_1,5,151,0.09630102040816327
q1_2,1,7,0.004464285714285714
q1_2,2,133,0.08482142857142858
q1_2,3,623,0.39732142857142855
q1_2,4,639,0.4075255102040816
q1_2,5,166,0.10586734693877552
q1_3,1,9,0.005739795918367347
q1_3,2,114,0.07270408163265306
q1_3,3,593,0.3781887755102041
q1_3,4,685,0.43686224489795916
q1_3,5,167,0.10650510204081633
q1_4,1,10,0.006377551020408163
q1_4,2,114,0.07270408163265306
q1_4,3,573,0.36543367346938777
q1_4,4,706,0.4502551020408163
q1_4,5,165,0.10522959183673469
q1_5,1,6,0.003826530612244898
q1_5,2,96,0.061224489795918366
q1_5,3,581,0.3705357142857143
q1_5,4,723,0.4610969387755102
q1_5,5,162,0.10331632653061225
q1_6,1,8,0.00510204081632653
q1_6,2,101,0.06441326530612244
q1_6,3,566,0.36096938775510207
q1_6,4,707,0.45089285714285715
q1_6,5,186,0.11862244897959184
q1_7,1,7,0.004464285714285714
q1_7,2,106,0.06760204081632654
q1_7,3,558,0.35586734693877553
q1_7,4,732,0.46683673469387754
q1_7,5,165,0.10522959183673469
q1_8,1,6,0.003826530612244898
q1_8,2,96,0.061224489795918366
q1_8,3,545,0.3475765306122449
q1_8,4,749,0.47767857142857145
q1_8,5,172,0.1096938775510204
q2_1,1,17,0.010841836734693877
q2_1,2,158,0.10076530612244898
q2_1,3,639,0.4075255102040816
q2_1,4,644,0.4107142857142857
q2_1,5,110,0.07015306122448979
q2_2,1,10,0.006377551020408163
q2_2,2,134,0.08545918367346939
q2_2,3,650,0.4145408163265306
q2_2,4,641,0.40880102040816324
q2_2,5,133,0.08482142857142858
q2_3,1,10,0.006377551020408163
q2_3,2,124,0.07908163265306123
q2_3,3,648,0.413265306122449
q2_3,4,646,0.4119897959183674
q2_3,5,140,0.08928571428571429
q2_4,1,9,0.005739795918367347
q2_4,2,139,0.08864795918367346
q2_4,3,618,0.39413265306122447
q2_4,4,676,0.43112244897959184
q2_4,5,126,0.08035714285714286
q2_5,1,8,0.00510204081632653
q2_5,2,117,0.07461734693877552
q2_5,3,615,0.39221938775510207
q2_5,4,693,0.4419642857142857
q2_5,5,135,0.08609693877551021
q3_1,1,12,0.007653061224489796
q3_1,2,153,0.0975765306122449
q3_1,3,648,0.413265306122449
q3_1,4,652,0.41581632653061223
q3_1,5,103,0.06568877551020408
q3_2,1,14,0.008928571428571428
q3_2,2,141,0.0899234693877551
q3_2,3,652,0.41581632653061223
q3_2,4,650,0.4145408163265306
q3_2,5,111,0.07079081632653061
q3_3,1,8,0.00510204081632653
q3_3,2,127,0.08099489795918367
q3_3,3,695,0.4432397959183674
q3_3,4,611,0.38966836734693877
q3_3,5,127,0.08099489795918367
q3_4,1,12,0.007653061224489796
q3_4,2,123,0.0784438775510204
q3_4,3,678,0.43239795918367346
q3_4,4,633,0.40369897959183676
q3_4,5,122,0.0778061224489796
q3_5,1,13,0.008290816326530613
q3_5,2,104,0.0663265306122449
q3_5,3,665,0.42410714285714285
q3_5,4,650,0.4145408163265306
q3_5,5,136,0.08673469387755102
q3_6,1,13,0.008290816326530613
q3_6,2,136,0.08673469387755102
q3_6,3,633,0.40369897959183676
q3_6,4,650,0.4145408163265306
q3_6,5,136,0.08673469387755102
q4_1,1,12,0.007653061224489796
q4_1,2,181,0.11543367346938775
q4_1,3,659,0.42028061224489793
q4_1,4,589,0.37563775510204084
q4_1,5,127,0.08099489795918367
q4_2,1,9,0.005739795918367347
q4_2,2,163,0.10395408163265306
q4_2,3,657,0.4190051020408163
q4_2,4,619,0.3947704081632653
q4_2,5,120,0.07653061224489796
q4_3,1,11,0.00701530612244898
q4_3,2,144,0.09183673469387756
q4_3,3,655,0.4177295918367347
q4_3,4,640,0.40816326530612246
q4_3,5,118,0.07525510204081633
q4_4,1,7,0.004464285714285714
q4_4,2,140,0.08928571428571429
q4_4,3,653,0.4164540816326531
q4_4,4,632,0.4030612244897959
q4_4,5,136,0.08673469387755102
q4_5,1,9,0.005739795918367347
q4_5,2,141,0.0899234693877551
q4_5,3,658,0.41964285714285715
q4_5,4,657,0.4190051020408163
q4_5,5,103,0.06568877551020408
q5_1,1,18,0.011479591836734694
q5_1,2,169,0.10778061224489796
q5_1,3,665,0.42410714285714285
q5_1,4,618,0.39413265306122447
q5_1,5,98,0.0625
q5_2,1,11,0.00701530612244898
q5_2,2,123,0.0784438775510204
q5_2,3,678,0.43239795918367346
q5_2,4,658,0.41964285714285715
q5_2,5,98,0.0625
q5_3,1,11,0.00701530612244898
q5_3,2,125,0.07971938775510204
q5_3,3,668,0.4260204081632653
q5_3,4,638,0.40688775510204084
q5_3,5,126,0.08035714285714286
q5_4,1,8,0.00510204081632653
q5_4,2,138,0.08801020408163265
q5_4,3,647,0.41262755102040816
q5_4,4,647,0.41262755102040816
q5_4,5,128,0.08163265306122448
q5_5,1,10,0.006377551020408163
q5_5,2,135,0.08609693877551021
q5_5,3,634,0.40433673469387754
q5_5,4,666,0.4247448979591837
q5_5,5,123,0.0784438775510204
q5_6,1,15,0.009566326530612245
q5_6,2,116,0.07397959183673469
q5_6,3,630,0.4017857142857143
q5_6,4,655,0.4177295918367347
q5_6,5,152,0.09693877551020408
