redesign_status,item,response,n,prop
pre,q1_1,1,3,0.0031847133757961785
pre,q1_1,2,83,0.0881104033970276
pre,q1_1,3,407,0.4320594479830149
pre,q1_1,4,376,0.3991507430997877
pre,q1_1,5,73,0.07749469214437367
pre,q1_2,1,5,0.005307855626326964
pre,q1_2,2,94,0.09978768577494693
pre,q1_2,3,398,0.42250530785562634
pre,q1_2,4,362,0.3842887473460722
pre,q1_2,5,83,0.0881104033970276
pre,q1_3,1,6,0.006369426751592357
pre,q1_3,2,69,0.0732484076433121
pre,q1_3,3,400,0.42462845010615713
pre,q1_3,4,384,0.40764331210191085
pre,q1_3,5,83,0.0881104033970276
pre,q1_4,1,7,0.0074309978768577496
pre,q1_4,2,87,0.09235668789808917
pre,q1_4,3,364,0.386411889596603
pre,q1_4,4,419,0.4447983014861996
pre,q1_4,5,65,0.06900212314225053
pre,q1_5,1,3,0.0031847133757961785
pre,q1_5,2,57,0.06050955414012739
pre,q1_5,3,381,0.40445859872611467
pre,q1_5,4,416,0.4416135881104034
pre,q1_5,5,85,0.09023354564755838
pre,q1_6,1,5,0.005307855626326964
pre,q1_6,2,74,0.07855626326963906
pre,q1_6,3,374,0.3970276008492569
pre,q1_6,4,391,0.4150743099787686
pre,q1_6,5,98,0.1040339702760085
pre,q1_7,1,4,0.004246284501061571
pre,q1_7,2,71,0.07537154989384288
pre,q1_7,3,358,0.38004246284501064
pre,q1_7,4,431,0.4575371549893843
pre,q1_7,5,78,0.08280254777070063
pre,q1_8,1,3,0.0031847133757961785
pre,q1_8,2,67,0.07112526539278131
pre,q1_8,3,354,0.37579617834394907
pre,q1_8,4,431,0.4575371549893843
pre,q1_8,5,87,0.09235668789808917
pre,q2_1,1,14,0.014861995753715499
pre,q2_1,2,106,0.11252653927813164
pre,q2_1,3,412,0.43736730360934184
pre,q2_1,4,354,0.37579617834394907
pre,q2_1,5,56,0.059447983014861996
pre,q2_2,1,7,0.0074309978768577496
pre,q2_2,2,102,0.10828025477707007
pre,q2_2,3,409,0.43418259023354566
pre,q2_2,4,353,0.3747346072186836
pre,q2_2,5,71,0.07537154989384288
pre,q2_3,1,4,0.004246284501061571
pre,q2_3,2,82,0.0870488322717622
pre,q2_3,3,414,0.4394904458598726
pre,q2_3,4,375,0.3980891719745223
pre,q2_3,5,67,0.07112526539278131
pre,q2_4,1,6,0.006369426751592357
pre,q2_4,2,94,0.09978768577494693
pre,q2_4,3,393,0.4171974522292994
pre,q2_4,4,380,0.4033970276008493
pre,q2_4,5,69,0.0732484076433121
pre,q2_5,1,4,0.004246284501061571
pre,q2_5,2,85,0.09023354564755838
pre,q2_5,3,409,0.43418259023354566
pre,q2_5,4,379,0.4023354564755839
pre,q2_5,5,65,0.06900212314225053
pre,q3_1,1,6,0.006369426751592357
pre,q3_1,2,114,0.12101910828025478
pre,q3_1,3,411,0.43630573248407645
pre,q3_1,4,362,0.3842887473460722
pre,q3_1,5,49,0.05201698513800425
pre,q3_2,1,10,0.010615711252653927
pre,q3_2,2,103,0.10934182590233546
pre,q3_2,3,405,0.4299363057324841
pre,q3_2,4,377,0.4002123142250531
pre,q3_2,5,47,0.049893842887473464
pre,q3_3,1,5,0.005307855626326964
pre,q3_3,2,79,0.08386411889596602
pre,q3_3,3,438,0.46496815286624205
pre,q3_3,4,352,0.37367303609341823
pre,q3_3,5,68,0.07218683651804671
pre,q3_4,1,9,0.009554140127388535
pre,q3_4,2,89,0.09447983014861996
pre,q3_4,3,449,0.47664543524416136
pre,q3_4,4,335,0.35562632696390656
pre,q3_4,5,60,0.06369426751592357
pre,q3_5,1,8,0.008492569002123142
pre,q3_5,2,74,0.07855626326963906
pre,q3_5,3,418,0.4437367303609342
pre,q3_5,4,368,0.39065817409766457
pre,q3_5,5,74,0.07855626326963906
pre,q3_6,1,9,0.009554140127388535
pre,q3_6,2,93,0.09872611464968153
pre,q3_6,3,388,0.4118895966029724
pre,q3_6,4,382,0.40552016985138006
pre,q3_6,5,70,0.07430997876857749
pre,q4_1,1,8,0.008492569002123142
pre,q4_1,2,120,0.12738853503184713
pre,q4_1,3,416,0.4416135881104034
pre,q4_1,4,334,0.35456475583864117
pre,q4_1,5,64,0.06794055201698514
pre,q4_2,1,6,0.006369426751592357
pre,q4_2,2,113,0.11995753715498939
pre,q4_2,3,412,0.43736730360934184
pre,q4_2,4,356,0.37791932059447986
pre,q4_2,5,55,0.058386411889596604
pre,q4_3,1,8,0.008492569002123142
pre,q4_3,2,94,0.09978768577494693
pre,q4_3,3,406,0.4309978768577495
pre,q4_3,4,376,0.3991507430997877
pre,q4_3,5,58,0.06157112526539278
pre,q4_4,1,4,0.004246284501061571
pre,q4_4,2,99,0.10509554140127389
pre,q4_4,3,421,0.4469214437367304
pre,q4_4,4,365,0.3874734607218684
pre,q4_4,5,53,0.05626326963906582
pre,q4_5,1,5,0.005307855626326964
pre,q4_5,2,99,0.10509554140127389
pre,q4_5,3,421,0.4469214437367304
pre,q4_5,4,364,0.386411889596603
pre,q4_5,5,53,0.05626326963906582
pre,q5_1,1,10,0.010615711252653927
pre,q5_1,2,125,0.1326963906581741
pre,q5_1,3,418,0.4437367303609342
pre,q5_1,4,341,0.3619957537154989
pre,q5_1,5,48,0.050955414012738856
pre,q5_2,1,6,0.006369426751592357
pre,q5_2,2,83,0.0881104033970276
pre,q5_2,3,432,0.4585987261146497
pre,q5_2,4,381,0.40445859872611467
pre,q5_2,5,40,0.04246284501061571
pre,q5_3,1,5,0.005307855626326964
pre,q5_3,2,87,0.09235668789808917
pre,q5_3,3,431,0.4575371549893843
pre,q5_3,4,356,0.37791932059447986
pre,q5_3,5,63,0.06687898089171974
pre,q5_4,1,6,0.006369426751592357
pre,q5_4,2,91,0.09660297239915075
pre,q5_4,3,414,0.4394904458598726
pre,q5_4,4,370,0.39278131634819535
pre,q5_4,5,61,0.06475583864118896
pre,q5_5,1,7,0.0074309978768577496
pre,q5_5,2,93,0.09872611464968153
pre,q5_5,3,395,0.41932059447983017
pre,q5_5,4,383,0.40658174097664546
pre,q5_5,5,64,0.06794055201698514
pre,q5_6,1,11,0.01167728237791932
pre,q5_6,2,79,0.08386411889596602
pre,q5_6,3,400,0.42462845010615713
pre,q5_6,4,364,0.386411889596603
pre,q5_6,5,88,0.09341825902335456
post,q1_1,1,4,0.006389776357827476
post,q1_1,2,44,0.07028753993610223
post,q1_1,3,211,0.33706070287539935
post,q1_1,4,289,0.46166134185303515
post,q1_1,5,78,0.12460063897763578
post,q1_2,1,2,0.003194888178913738
post,q1_2,2,39,0.06230031948881789
post,q1_2,3,225,0.35942492012779553
post,q1_2,4,277,0.4424920127795527
post,q1_2,5,83,0.13258785942492013
post,q1_3,1,3,0.004792332268370607
post,q1_3,2,45,0.07188498402555911
post,q1_3,3,193,0.3083067092651757
post,q1_3,4,301,0.48083067092651754
post,q1_3,5,84,0.134185303514377
post,q1_4,1,3,0.004792332268370607
post,q1_4,2,27,0.04313099041533546
post,q1_4,3,209,0.33386581469648563
post,q1_4,4,287,0.4584664536741214
post,q1_4,5,100,0.1597444089456869
post,q1_5,1,3,0.004792332268370607
post,q1_5,2,39,0.06230031948881789
post,q1_5,3,200,0.3194888178913738
post,q1_5,4,307,0.4904153354632588
post,q1_5,5,77,0.12300319488817892
post,q1_6,1,3,0.004792332268370607
post,q1_6,2,27,0.04313099041533546
post,q1_6,3,192,0.30670926517571884
post,q1_6,4,316,0.5047923322683706
post,q1_6,5,88,0.14057507987220447
post,q1_7,1,3,0.004792332268370607
post,q1_7,2,35,0.05591054313099041
post,q1_7,3,200,0.3194888178913738
post,q1_7,4,301,0.48083067092651754
post,q1_7,5,87,0.1389776357827476
post,q1_8,1,3,0.004792332268370607
post,q1_8,2,29,0.0463258785942492
post,q1_8,3,191,0.305111821086262
post,q1_8,4,318,0.5079872204472844
post,q1_8,5,85,0.13578274760383385
post,q2_1,1,3,0.004792332268370607
post,q2_1,2,52,0.08306709265175719
post,q2_1,3,227,0.36261980830670926
post,q2_1,4,290,0.46325878594249204
post,q2_1,5,54,0.08626198083067092
post,q2_2,1,3,0.004792332268370607
post,q2_2,2,32,0.051118210862619806
post,q2_2,3,241,0.38498402555910544
post,q2_2,4,288,0.46006389776357826
post,q2_2,5,62,0.09904153354632587
post,q2_3,1,6,0.009584664536741214
post,q2_3,2,42,0.0670926517571885
post,q2_3,3,234,0.3738019169329074
post,q2_3,4,271,0.4329073482428115
post,q2_3,5,73,0.11661341853035144
post,q2_4,1,3,0.004792332268370607
post,q2_4,2,45,0.07188498402555911
post,q2_4,3,225,0.35942492012779553
post,q2_4,4,296,0.4728434504792332
post,q2_4,5,57,0.09105431309904154
post,q2_5,1,4,0.006389776357827476
post,q2_5,2,32,0.051118210862619806
post,q2_5,3,206,0.329073482428115
post,q2_5,4,314,0.5015974440894568
post,q2_5,5,70,0.11182108626198083
post,q3_1,1,6,0.009584664536741214
post,q3_1,2,39,0.06230031948881789
post,q3_1,3,237,0.37859424920127793
post,q3_1,4,290,0.46325878594249204
post,q3_1,5,54,0.08626198083067092
post,q3_2,1,4,0.006389776357827476
post,q3_2,2,38,0.06070287539936102
post,q3_2,3,247,0.39456869009584666
post,q3_2,4,273,0.43610223642172524
post,q3_2,5,64,0.10223642172523961
post,q3_3,1,3,0.004792332268370607
post,q3_3,2,48,0.07667731629392971
