factor,item,estimate,se,z,pvalue,std_loading
OLSE,q1_1,0.7911783277045982,0.038686474409598694,20.451032041014702,0,0.6204674933680258
OLSE,q1_2,0.7810348130227411,0.036965971759521626,21.128480487505747,0,0.6155387238894455
OLSE,q1_3,0.7144152035763074,0.03589516301708944,19.902826551760725,0,0.5813079591842782
OLSE,q1_4,0.7483631687604289,0.0379722666488462,19.7081511009343,0,0.5991609541645
OLSE,q1_5,0.6880723096629562,0.03567426312638042,19.28763902495691,0,0.5668489370904347
OLSE,q1_6,0.7171383546025265,0.03759027249915654,19.07776419068571,0,0.582772155487465
OLSE,q1_7,0.7547128857477843,0.036786206119627345,20.51619249056254,0,0.6024048232757175
OLSE,q1_8,0.8186734058141968,0.03859975499169101,21.209290214158734,0,0.6334656119125709
OLSE,q2_1,0.7312170277264188,0.036811562503388746,19.86378675610701,0,0.590252199538813
OLSE,q2_2,0.765505254273775,0.03757294553085369,20.37384196150304,0,0.6078505556005613
OLSE,q2_3,0.7607064549185815,0.03707886629349782,20.51590382772786,0,0.6054396098522999
OLSE,q2_4,0.7331750439157807,0.03716301825116861,19.728619429147834,0,0.5912806478415796
OLSE,q2_5,0.7907859755128512,0.037921599120624275,20.853181138207052,0,0.6202782004319511
OLSE,q3_1,0.8061099324635073,0.03798959222285879,21.219230986597992,0,0.6275912533595054
OLSE,q3_2,0.7698002912683399,0.03629766717697737,21.207982527224324,0,0.6099942476700988
OLSE,q3_3,0.7395270324460816,0.036530396789693324,20.244155482448292,0,0.5945972570705582
OLSE,q3_4,0.7654147779266834,0.038125362161304674,20.07626248082021,0,0.6078052544291354
OLSE,q3_5,0.760137457592883,0.03720937719941749,20.428653065571407,0,0.6051526309139184
OLSE,q3_6,0.7164116535198145,0.03542681478125107,20.222299349896986,0,0.5823819732222106
OLSE,q4_1,0.7404480079533245,0.036615581697793845,20.222210698838573,0,0.5950756313230491
OLSE,q4_2,0.7734704674411957,0.03730100012356476,20.735917666522802,0,0.6118155174741505
OLSE,q4_3,0.7201675703721477,0.036264628841360495,19.8586775428619,0,0.5843942759663499
OLSE,q4_4,0.7520136754008145,0.036445523114879856,20.633910865551137,0,0.6010295080820816
OLSE,q4_5,0.7399718444027055,0.03696142610706353,20.020110757070945,0,0.5948283807618987
OLSE,q5_1,0.8494264797937243,0.03955274866134506,21.475788877951473,0,0.6473946185564435
OLSE,q5_2,0.7303103032449951,0.03730827692984131,19.575020969699377,0,0.5897749662532206
OLSE,q5_3,0.6852367300332708,0.03472688350136883,19.732168883115033,0,0.5652603753713323
OLSE,q5_4,0.7831378594255931,0.03774926900154629,20.745775484911086,0,0.6165665963665896
OLSE,q5_5,0.7719473033875717,0.03853784831216678,20.03088748325008,0,0.6110608473754219
OLSE,q5_6,0.7617096705134032,0.03758845612984034,20.264457467533628,0,0.6059450160313091
