student_id,course_id,term,section_id,instructor_id,switch_term,term_index,course_term_id,section_term_id,post_redesign,redesign_status,final_numeric_grade,final_numeric_grade_z,olse_q1_mean,olse_q2_mean,olse_q3_mean,olse_q4_mean,olse_q5_mean,olse_q1_mean_z,olse_q2_mean_z,olse_q3_mean_z,olse_q4_mean_z,olse_q5_mean_z,olse_overall_mean,olse_overall_z,mastery_redesign,social_vicarious_redesign,structural_compliance_redesign,redesign_intensity,mastery_redesign_z,social_vicarious_redesign_z,structural_compliance_redesign_z,redesign_intensity_z,post_x_mastery_redesign_z,post_x_social_vicarious_redesign_z,post_x_structural_compliance_redesign_z,post_x_redesign_intensity_z,fs_Q1,fs_Q2,fs_Q3,fs_Q4,fs_Q5,fs_Overall_OLSE
STU_000080,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,1.3,-1.5835909240968005,1.875,2,1.8333333333333333,1.8,2.5,-3.408668330572916,-2.7694962830353456,-3.1583388012733327,-3.07738340197553,-1.8547069547101271,2,-3.266229778543842,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-28.08803102159025,-15.063907150127932,-24.695053118731312,-28.337119942309588,-17.004665839821516,-3.004242610483249
STU_000051,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,1.7,-1.0805886818231698,2.875,3.2,2.5,2.8,3.1666666666666665,-1.4086526357926807,-0.5325954390452579,-1.869019550974815,-1.205356254901651,-0.5741342972968816,2.9,-1.301005102159485,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-11.623097026196707,-5.932458704558748,-10.454821857098437,-11.703308088771623,-6.949941759222057,-1.2422024527243494
STU_000831,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,1,-1.9608426058020236,2.75,2.4,1.6666666666666667,2.6,2.5,-1.65865459764021,-2.0238626683719834,-3.480668613847962,-1.5797616843164264,-1.8547069547101271,2.4,-2.3927965890396834,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-20.57353770448574,-11.224263192145585,-18.78786368054971,-20.88627488829726,-12.880564321303972,-2.234999833557514
STU_000994,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,1.3,-1.5835909240968005,2.625,2.6,2.6666666666666665,2.4,2.3333333333333335,-1.9086565594877396,-1.6510458610403016,-1.546689738400186,-1.9541671137312024,-2.1748501190634384,2.533333333333333,-2.1016521925382974,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-18.14962460780609,-9.719807478343238,-15.873280823541156,-18.401424516899784,-11.526442893978773,-1.9519768558593207
STU_001521,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,2,-0.7033370001179466,3.5,3.2,3.5,3.2,2.8333333333333335,-0.1586428265550334,-0.5325954390452579,0.06495932447296097,-0.4565453960720986,-1.214420626003504,3.2666666666666666,-0.5003580117806731,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-4.421273020861807,-2.5098085174112863,-3.8216426973473805,-4.604223861983932,-3.23267574378223,-0.48864747832647787
STU_000815,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,2,-0.7033370001179466,2.875,3,2.8333333333333335,2.6,2.5,-1.4086526357926807,-0.9054122463769394,-1.2243599258255562,-1.5797616843164264,-1.8547069547101271,2.7666666666666666,-1.5921494986608713,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-14.088162281430938,-7.408328046976872,-12.37974619484977,-14.333756039625873,-9.074050491853601,-1.518514755183279
STU_000043,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,1,-1.9608426058020236,3.125,2.8,2.8333333333333335,3,3.1666666666666665,-0.9086487120976218,-1.278229053708621,-1.2243599258255562,-0.8309508254868748,-0.5741342972968816,3,-1.0826468047834452,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-9.782553020959005,-5.48437770447545,-8.751563279137649,-9.895716868373452,-5.97426449152969,-1.0562084904148936
STU_000168,ASTR 4B,2024SP,S01,INST_ASTR4B_01,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S01,0,pre,1.7,-1.0805886818231698,2.75,1.6,2.1666666666666665,2.4,2.3333333333333335,-1.65865459764021,-3.5151298976987078,-2.513679176124074,-1.9541671137312024,-2.1748501190634384,2.3,-2.611154886415723,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-22.109488263117267,-12.708850968341705,-19.798600126260204,-22.58432974803018,-14.00675163840747,-2.409462478473281
STU_001128,ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S02,0,pre,2,-0.7033370001179466,3.125,3.4,3.1666666666666665,3.4,2.6666666666666665,-0.9086487120976218,-0.1597786317135771,-0.5797003006762981,-0.08213996665732322,-1.534563790356816,3.1333333333333333,-0.7915024082820592,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,-7.166076761843218,-3.5624285916222953,-6.184979657778331,-6.975549978734108,-4.825271929238046,-0.7601199012439499
STU_000425,ASTR 4B,2024SP,S02,INST_ASTR4B_02,2025SP,20241,ASTR 4B__2024SP,ASTR 4B__2024SP__S02,0,pre,2.7,0.17691692386090738,4.125,3.8,3.8333333333333335,4,3.5,1.0913669826826138,0.5858549829497852,0.7096189496222199,1.0410763215870045,0.06615203140974155,3.8666666666666667,0.809791772475565,0.066375,0.305104,0.046909,0.121191,-1.622277,1.142912,-1.34547,-1.770202,-0,0,-0,-0,7.474815462309133,3.8846146914133044,6.438218532966208,7.500567466436423,4.262515074999923,0.7874456195008459
