source_model,indirect_association,label,estimate,std_error,p_value,ci_lower,ci_upper,std_all
Primary latent OLSE parcel SEM,Post -> OLSE -> grade,ind_post,0.15679794864119848,0.03447999810329637,5.428574422650101e-6,0.08921839417172822,0.22437750311066873,0.0768149020259794
Primary latent OLSE parcel SEM,Mastery -> OLSE -> grade,ind_mastery,0.08509044413866158,0.03369734851090263,0.01156529726507105,0.01904485468279802,0.15113603359452515,0.05143592975125544
Primary latent OLSE parcel SEM,Social/vicarious -> OLSE -> grade,ind_social,0.16587398734992626,0.02172665188143098,2.264854970235319e-14,0.12329053215768213,0.2084574425421704,0.10594032762293323
Primary latent OLSE parcel SEM,Structural/compliance -> OLSE -> grade,ind_structural,0.1201724320225474,0.02823816997528135,2.0842065642678875e-5,0.06482663588167567,0.17551822816341914,0.07349870505722637
Manifest OLSE path model,Post -> OLSE -> grade,ind_post,0.14475934627252643,0.03185285505870274,5.503260930739273e-6,0.0823288975526946,0.20718979499235823,0.07091722179412337
Manifest OLSE path model,Mastery -> OLSE -> grade,ind_mastery,0.07857378800057337,0.03145402576558603,0.01248779187161486,0.01692503033122987,0.14022254566991688,0.04749670867592074
Manifest OLSE path model,Social/vicarious -> OLSE -> grade,ind_social,0.1530405192078228,0.02068113524530622,1.3611334281904422e-13,0.11250623896762069,0.19357479944802491,0.0977438516567825
Manifest OLSE path model,Structural/compliance -> OLSE -> grade,ind_structural,0.11087310218293613,0.02642344528783467,2.7165546646168437e-5,0.05908410107131558,0.16266210329455666,0.06781113121358302
Overall redesign intensity SEM,Post -> OLSE -> grade,ind_post,0.15379973661559426,0.03620888311801135,2.161024292823832e-5,0.08283162978387167,0.22476784344731687,0.07534608256253277
Overall redesign intensity SEM,Intensity -> OLSE -> grade,ind_intensity,0.08906954657481132,0.03156200019840368,0.00477177185605004,0.02720916290589408,0.15092993024372856,0.05086863215124069
