model,status,converged,chisq,df,pvalue,cfi,tli,rmsea,srmr
primary_latent_parcel_sem_cluster_course,ok,TRUE,30.080924162062807,25,0.22127320732632894,0.9991912811169507,0.9987383985424431,0.011384876472650931,0.009152795711420683
indirect_only_latent_parcel_sem,ok,TRUE,97.08494905786584,29,2.8481157432480586e-9,0.9891630769918458,0.9854262069890339,0.038694882328395575,0.02168731559296085
manifest_olse_path_sem_cluster_course,ok,TRUE,7.224443265840819e-12,0,,0.999999999999984,1,0,1.3736202549089296e-8
overall_intensity_latent_parcel_sem,ok,TRUE,13.599240987983542,17,0.6952390407924537,1,1.0008643522078429,0,0.006247658949113441
cluster_1_one_at_a_time,ok,TRUE,15.657089626660358,17,0.5482609024653964,1,1.0003446728397691,0,0.006820690405492712
cluster_2_one_at_a_time,ok,TRUE,13.755347094222216,17,0.6843379761078662,1,1.0008326030864392,0,0.006305128998101173
cluster_3_one_at_a_time,ok,TRUE,15.946716793507164,17,0.5276153533872909,1,1.0002708715412285,0,0.00705308782358516
cluster_4_one_at_a_time,ok,TRUE,24.279694243688944,17,0.11203253336060837,0.9988246612196586,0.9981332854665167,0.016525670130062335,0.008918730815836872
cluster_5_one_at_a_time,ok,TRUE,16.584789165966995,17,0.4828217383545903,1,1.0001062382983643,0,0.006989695434488244
cluster_6_one_at_a_time,ok,TRUE,15.214249538557794,17,0.5800526851471568,1,1.0004583424810403,0,0.0067005994686408325
cluster_7_one_at_a_time,ok,TRUE,16.468571851777803,17,0.49089380551958905,1,1.0001359627763815,0,0.007031060790667921
cluster_8_one_at_a_time,ok,TRUE,24.144737430271633,17,0.11555540359541328,0.9988459329531976,0.9981670699844902,0.016371770447395698,0.008928006404154629
