model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
cluster_1_one_at_a_time,ok,OLSE,=~,olse_q1_mean_z,,0.8643801460269364,0.025742078366602875,33.57849097174537,0,0.8139265995411871,0.9148336925126856,0.8800263444834364,0.8803071063610972
cluster_1_one_at_a_time,ok,OLSE,=~,olse_q2_mean_z,,0.8066100644386961,0.028831887928043205,27.976317973064486,0,0.7501006024934362,0.863119526383956,0.8212105630772023,0.8214725376392467
cluster_1_one_at_a_time,ok,OLSE,=~,olse_q3_mean_z,,0.8382511773659643,0.032303930158313,25.94889145865278,0,0.7749366376965736,0.901565717035355,0.8534244137455214,0.8536967109859773
cluster_1_one_at_a_time,ok,OLSE,=~,olse_q4_mean_z,,0.8142206495579825,0.02488505594648548,32.719261363484094,0,0.7654468361496066,0.8629944629663583,0.8289589078681954,0.8292233936792626
cluster_1_one_at_a_time,ok,OLSE,=~,olse_q5_mean_z,,0.8329804256560599,0.026023599338381782,32.00865548323712,0,0.7819751082047313,0.8839857431073885,0.8480582558330946,0.8483287348028274
cluster_1_one_at_a_time,ok,OLSE,~,post_redesign,a_post,0.38772559939764084,0.07905236396576151,4.904667994059852,9.358549639681968e-7,0.23278581313199637,0.5426653856632853,0.3808321334089586,0.18650915337435825
cluster_1_one_at_a_time,ok,OLSE,~,post_x_cluster_1_z,a_k,-0.032578199416113375,0.10456249910782744,-0.3115667633624358,0.75536979669378,-0.23751693180095662,0.17236053296872988,-0.031998983831699086,-0.018970062979458607
cluster_1_one_at_a_time,ok,final_numeric_grade_z,~,OLSE,b,0.40606699841568894,0.037958706512922595,10.697598409404394,0,0.3316693007506347,0.48046469608074316,0.4134172422557981,0.4135491439745469
cluster_1_one_at_a_time,ok,final_numeric_grade_z,~,post_redesign,c_post,0.1701669359586473,0.07407101588641166,2.29734848269935,0.021598898115706033,0.02499041252298631,0.3153434593943083,0.1701669359586473,0.08336433393075662
cluster_1_one_at_a_time,ok,final_numeric_grade_z,~,post_x_cluster_1_z,c_k,0.13557332427474256,0.1273496647490435,1.064575431289157,0.2870681027643247,-0.11402743207663271,0.3851740806261178,0.13557332427474256,0.08039802335754306
cluster_1_one_at_a_time,ok,olse_q1_mean_z,~~,olse_q1_mean_z,,0.22491586216661238,0.00874876666077972,25.70829362439152,0,0.20776859460233937,0.2420631297308854,0.22491586216661238,0.2250593984901521
cluster_1_one_at_a_time,ok,olse_q2_mean_z,~~,olse_q2_mean_z,,0.32497549582402774,0.012088097255712733,26.88392465327387,0,0.30128326056121335,0.3486677310868421,0.32497549582402774,0.32518286990453654
cluster_1_one_at_a_time,ok,olse_q3_mean_z,~~,olse_q3_mean_z,,0.27102894675251227,0.007262566333881205,37.31861910687307,0,0.256794578302772,0.2852633152022525,0.27102894675251227,0.27120192565172474
cluster_1_one_at_a_time,ok,olse_q4_mean_z,~~,olse_q4_mean_z,,0.3121893187161661,0.01657549420643841,18.83438978217027,0,0.27970194704559453,0.3446766903867377,0.3121893187161661,0.31238856337504667
cluster_1_one_at_a_time,ok,olse_q5_mean_z,~~,olse_q5_mean_z,,0.28015962147261314,0.013199568630867697,21.224907366855092,0,0.2542889423446478,0.3060303006005785,0.28015962147261314,0.28033835770783405
cluster_1_one_at_a_time,ok,final_numeric_grade_z,~~,final_numeric_grade_z,,0.803787529913101,0.05115641168899056,15.712351655932999,0,0.7035228054243757,0.9040522544018262,0.803787529913101,0.8043005122417547
cluster_1_one_at_a_time,ok,OLSE,~~,OLSE,,1,0,,,1,1,0.9647576238938378,0.9647576238938378
cluster_1_one_at_a_time,ok,post_redesign,~~,post_redesign,,0.2398463590291407,0.006259817249780916,38.31523340997454,0,0.22757734266976754,0.25211537538851386,0.2398463590291407,1
cluster_1_one_at_a_time,ok,post_redesign,~~,post_x_cluster_1_z,,-0.003973683192210862,0.05421113339565124,-0.07330013123336813,0.941567287273501,-0.11022555220878383,0.1022781858243621,-0.003973683192210862,-0.013686553159774998
cluster_1_one_at_a_time,ok,post_x_cluster_1_z,~~,post_x_cluster_1_z,,0.35145131409915914,0.08620444882968933,4.0769510027667755,4.563010334512896e-5,0.1824936990858421,0.5204089291124762,0.35145131409915914,1
cluster_1_one_at_a_time,ok,olse_q1_mean_z,~1,,,-0.13398666691673553,0.06137897907407943,-2.1829406245911085,0.029040182838423023,-0.2542872553097688,-0.013686078523702253,-0.13398666691673553,-0.13402941375996455
cluster_1_one_at_a_time,ok,olse_q2_mean_z,~1,,,-0.12503176642245636,0.06216435615505282,-2.0113096017691734,0.044292764936510576,-0.24687166560848067,-0.0031918672364320416,-0.12503176642245636,-0.1250716528337166
cluster_1_one_at_a_time,ok,olse_q3_mean_z,~1,,,-0.129936412663314,0.05843925339857725,-2.223444091201846,0.02618586939888523,-0.2444752446079353,-0.015397580718692669,-0.129936412663314,-0.12997787073040593
cluster_1_one_at_a_time,ok,olse_q4_mean_z,~1,,,-0.12621146190954535,0.05601480467924122,-2.2531804338562416,0.02424777456825411,-0.2359984616819038,-0.0164244621371869,-0.12621146190954535,-0.12625173066177453
cluster_1_one_at_a_time,ok,olse_q5_mean_z,~1,,,-0.12911951847360972,0.061354856636502336,-2.104471032156102,0.035337378916934004,-0.24937282775777259,-0.008866209189446861,-0.12911951847360972,-0.12916069974162867
cluster_1_one_at_a_time,ok,final_numeric_grade_z,~1,,,-0.1299838807871261,0.08725639091824093,-1.4896774828667938,0.13630905795320047,-0.3010032644078261,0.041035502833573906,-0.1299838807871261,-0.1300253524422315
cluster_1_one_at_a_time,ok,post_redesign,~1,,,0.399234693877551,0.03106137009849588,12.853093492385373,0,0.3383555271740297,0.4601138605810723,0.399234693877551,0.8151953802239675
cluster_1_one_at_a_time,ok,post_x_cluster_1_z,~1,,,-0.006614367005055115,0.09025519991650227,-0.07328516264075931,0.9415791984471444,-0.183511308258862,0.1702825742487518,-0.006614367005055115,-0.011157212449999097
cluster_1_one_at_a_time,ok,OLSE,~1,,,0,0,,,0,0,0,0
cluster_1_one_at_a_time,ok,ind_post,:=,a_post*b,ind_post,0.15744257035632386,0.030703460541454317,5.127844470291959,2.930784004373521e-7,0.09726489349432675,0.21762024721832096,0.15744257035632386,0.07713070072138332
cluster_1_one_at_a_time,ok,ind_cluster,:=,a_k*b,ind_cluster,-0.013228931650688908,0.041691282933420774,-0.3173068977468253,0.7510107439551255,-0.09494234466946301,0.0684844813680852,-0.013228931650688908,-0.007845053306298349
cluster_1_one_at_a_time,ok,total_post,:=,c_post+ind_post,total_post,0.32760950631497116,0.08676120515878084,3.775990728983261,1.5937291880674387e-4,0.15756066894847,0.4976583436814723,0.32760950631497116,0.16049503465213993
cluster_1_one_at_a_time,ok,total_cluster,:=,c_k+ind_cluster,total_cluster,0.12234439262405365,0.13909883289264946,0.8795501017501264,0.3791030802514337,-0.1502843101370946,0.3949730953852019,0.12234439262405365,0.07255297005124471
cluster_2_one_at_a_time,ok,OLSE,=~,olse_q1_mean_z,,0.8633436588915678,0.02371266129245044,36.40855188052791,0,0.816867696780768,0.9098196210023677,0.8802984507082329,0.8805792852181112
cluster_2_one_at_a_time,ok,OLSE,=~,olse_q2_mean_z,,0.8053320767369063,0.026007292837250777,30.965624979752324,0,0.7543587194405083,0.8563054340333044,0.8211476069301635,0.8214095953366415
cluster_2_one_at_a_time,ok,OLSE,=~,olse_q3_mean_z,,0.8367877829860872,0.029447252825320673,28.416497387714294,0,0.7790722280048133,0.8945033379673611,0.853221056699446,0.8534932707998805
cluster_2_one_at_a_time,ok,OLSE,=~,olse_q4_mean_z,,0.8129422927559548,0.023513983487121214,34.572716834695804,0,0.7668557319881276,0.8590288535237819,0.8289072763296289,0.8291717149079805
cluster_2_one_at_a_time,ok,OLSE,=~,olse_q5_mean_z,,0.8317142543436423,0.024336650706012538,34.1753787072336,0,0.7840152954555265,0.8794132132317581,0.8480478914626709,0.8483184423658768
cluster_2_one_at_a_time,ok,OLSE,~,post_redesign,a_post,0.3877488313305732,0.08498804995140498,4.562392378131782,5.057401883057366e-6,0.22117531430952841,0.554322348351618,0.380280681514933,0.1862390921762941
cluster_2_one_at_a_time,ok,OLSE,~,post_x_cluster_2_z,a_k,0.09661730082936337,0.10937420972199086,0.8833645616726905,0.3770393315516689,-0.11775221106326927,0.310986812721996,0.0947564248728829,0.057144849735258164
cluster_2_one_at_a_time,ok,final_numeric_grade_z,~,OLSE,b,0.3995890926271609,0.037440637712523116,10.672603808067795,0,0.32620679115240353,0.4729713941019183,0.4074364310629373,0.40756642755897704
