model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
primary_latent_parcel_sem_cluster_course,ok,OLSE,=~,olse_q1_mean_z,,0.8504700426621248,0.02216143482755526,38.37612723543787,0,0.8070344285543849,0.8939056567698647,0.879895209147319,0.88017611313942
primary_latent_parcel_sem_cluster_course,ok,OLSE,=~,olse_q2_mean_z,,0.79365468082432,0.02524453994305589,31.438666841010647,0,0.7441762917296476,0.8431330699189924,0.821114109074031,0.8213762355599573
primary_latent_parcel_sem_cluster_course,ok,OLSE,=~,olse_q3_mean_z,,0.8248833984142423,0.02790754431172477,29.55772063641174,0,0.7701856166663061,0.8795811801621785,0.8534233000117578,0.8536957662225064
primary_latent_parcel_sem_cluster_course,ok,OLSE,=~,olse_q4_mean_z,,0.8009727776331304,0.022715769501500366,35.26064910899129,0,0.7564506875290763,0.8454948677371844,0.8286854025930747,0.8289499403153693
primary_latent_parcel_sem_cluster_course,ok,OLSE,=~,olse_q5_mean_z,,0.8201694870907092,0.022583875276747392,36.316596555736595,0,0.7759059049169398,0.8644330692644787,0.8485462934367363,0.8488171894365841
primary_latent_parcel_sem_cluster_course,ok,OLSE,~,post_redesign,a_post,0.42082973121428574,0.08017854720095019,5.248657476414071,1.5321163959747253e-7,0.2636826663676787,0.5779767960608928,0.40675648161118827,0.1992053697622399
primary_latent_parcel_sem_cluster_course,ok,OLSE,~,post_x_mastery_z,a_m,0.22837408936846565,0.08074791138333495,2.828235250374517,0.004680539749110091,0.07011109123029735,0.38663708750663395,0.22073687810658843,0.13338965662805966
primary_latent_parcel_sem_cluster_course,ok,OLSE,~,post_x_social_z,a_s,0.44518889511524,0.055349697823893346,8.043203714168444,8.881784197001252e-16,0.3367054808252341,0.5536723094052459,0.43030103435643424,0.27473682293732216
primary_latent_parcel_sem_cluster_course,ok,OLSE,~,post_x_structural_z,a_c,0.32253057329940016,0.07018951756005863,4.595138768740252,4.324613690709356e-6,0.1849616467894436,0.4600994998093567,0.31174461183803825,0.19060542071665698
primary_latent_parcel_sem_cluster_course,ok,final_numeric_grade_z,~,OLSE,b,0.37259237409097706,0.03180129253624465,11.71626510671933,0,0.31026298605811514,0.434921762123839,0.3854835896409366,0.38560658338508275
