source_model,lhs,op,rhs,label,est,se,pvalue,ci.lower,ci.upper,std.all,status
Primary latent OLSE parcel SEM,OLSE,~,post_redesign,a_post,0.42082973121428574,0.08017854720095019,1.5321163959747253e-7,0.2636826663676787,0.5779767960608928,0.1992053697622399,ok
Primary latent OLSE parcel SEM,OLSE,~,post_x_mastery_z,a_m,0.22837408936846565,0.08074791138333495,0.004680539749110091,0.07011109123029735,0.38663708750663395,0.13338965662805966,ok
Primary latent OLSE parcel SEM,OLSE,~,post_x_social_z,a_s,0.44518889511524,0.055349697823893346,8.881784197001252e-16,0.3367054808252341,0.5536723094052459,0.27473682293732216,ok
Primary latent OLSE parcel SEM,OLSE,~,post_x_structural_z,a_c,0.32253057329940016,0.07018951756005863,4.324613690709356e-6,0.1849616467894436,0.4600994998093567,0.19060542071665698,ok
Primary latent OLSE parcel SEM,final_numeric_grade_z,~,OLSE,b,0.37259237409097706,0.03180129253624465,0,0.31026298605811514,0.434921762123839,0.38560658338508275,ok
Primary latent OLSE parcel SEM,final_numeric_grade_z,~,post_redesign,c_post,0.19730939625550564,0.04925360292335089,6.175849805933886e-5,0.10077410841690121,0.2938446840941101,0.09666135350312557,ok
Primary latent OLSE parcel SEM,ind_post,:=,a_post*b,ind_post,0.15679794864119848,0.034479998103296376,5.428574422650101e-6,0.08921839417172822,0.22437750311066873,0.0768149020259794,ok
Primary latent OLSE parcel SEM,ind_mastery,:=,a_m*b,ind_mastery,0.08509044413866158,0.033697348510902635,0.01156529726507105,0.019044854682798026,0.15113603359452515,0.05143592975125544,ok
Primary latent OLSE parcel SEM,ind_social,:=,a_s*b,ind_social,0.16587398734992626,0.021726651881430987,2.2648549702353193e-14,0.12329053215768213,0.20845744254217038,0.10594032762293323,ok
Primary latent OLSE parcel SEM,ind_structural,:=,a_c*b,ind_structural,0.1201724320225474,0.028238169975281353,2.0842065642678875e-5,0.06482663588167567,0.17551822816341914,0.07349870505722637,ok
Primary latent OLSE parcel SEM,total_post,:=,c_post+ind_post,total_post,0.35410734489670415,0.07118239338261498,6.536633612164167e-7,0.21459241753341657,0.4936222722599917,0.17347625552910498,ok
Primary latent OLSE parcel SEM,total_mastery,:=,c_m+ind_mastery,total_mastery,0.30115195596233413,0.11129204358413275,0.006810699528255082,0.08302355877157203,0.5192803531530963,0.18204195557011743,ok
Primary latent OLSE parcel SEM,total_social,:=,c_s+ind_social,total_social,0.45790984060441564,0.13073481934600445,4.6076643283954333e-4,0.20167430316089668,0.7141453780479345,0.29245766205076096,ok
Primary latent OLSE parcel SEM,total_structural,:=,c_c+ind_structural,total_structural,0.4516624118168185,0.11865612695165803,1.4095754453991027e-4,0.2191006764465564,0.6842241471870806,0.27624141271711405,ok
Manifest OLSE path model,olse_overall_z,~,post_redesign,a_post,0.3919381525801313,0.07301725323063793,7.972621851592976e-8,0.2488269659980401,0.5350493391622225,0.1920094668373818,ok
Manifest OLSE path model,olse_overall_z,~,post_x_mastery_z,a_m,0.21273973738587088,0.07811225815759741,0.006459170644528722,0.05964252464588496,0.3658369501258568,0.12859806798226422,ok
Manifest OLSE path model,olse_overall_z,~,post_x_social_z,a_s,0.4143595554465564,0.05596763996480569,1.325606291402437e-13,0.3046649968158327,0.5240541140772801,0.2646429790740358,ok
Manifest OLSE path model,olse_overall_z,~,post_x_structural_z,a_c,0.3001906264387118,0.06943834744210332,1.5383480894026746e-5,0.16409396630621034,0.4362872865712133,0.1835996789011095,ok
Manifest OLSE path model,final_numeric_grade_z,~,olse_overall_z,b,0.36934231923984623,0.028170418869793518,0,0.31412931282564344,0.424555325654049,0.369342319221089,ok
Manifest OLSE path model,final_numeric_grade_z,~,post_redesign,c_post,0.20934717343234588,0.05026898241219091,3.119813262819626e-5,0.11082177836497432,0.30787256849971745,0.10255862790596296,ok
Manifest OLSE path model,ind_post,:=,a_post*b,ind_post,0.14475934627252643,0.03185285505870274,5.503260930739273e-6,0.0823288975526946,0.20718979499235826,0.07091722179412337,ok
Manifest OLSE path model,ind_mastery,:=,a_m*b,ind_mastery,0.07857378800057337,0.03145402576558603,0.012487791871614862,0.01692503033122987,0.14022254566991688,0.04749670867592074,ok
Manifest OLSE path model,ind_social,:=,a_s*b,ind_social,0.1530405192078228,0.020681135245306223,1.361133428190442e-13,0.11250623896762069,0.19357479944802491,0.0977438516567825,ok
Manifest OLSE path model,ind_structural,:=,a_c*b,ind_structural,0.11087310218293613,0.026423445287834676,2.7165546646168437e-5,0.05908410107131558,0.16266210329455666,0.06781113121358302,ok
